Pueblo Dam,,,,,,,
1991 General Storm PMF,,,,,,,
NO SNOW PMF Routing,,,,,,,
3100100021,,,,,,,
2,1,0.01,0,,,,
4880.49,4960,4864,,,,,
3,Top of Dam,,,,,,
3,"Embankment ""wings""",,,,,,
2.67,0,4925.25,1200.5,0,0,0,0
2.62,0,4925,8480,0,0,0,0
0.5,0,,,,,,
1,0,,,,,,
1.5,0,,,,,,
2,0,,,,,,
2.5,0,,,,,,
3,0,,,,,,
3.5,0,,,,,,
4,0,,,,,,
4.5,0,,,,,,
5,0,,,,,,
5.5,0,,,,,,
6,0,,,,,,
6.5,0,,,,,,
7,0,,,,,,
7.5,0,,,,,,
8,0,,,,,,
8.5,0,,,,,,
9,0,,,,,,
9.5,0,,,,,,
10,0,,,,,,
10.5,0,,,,,,
11,0,,,,,,
11.5,0,,,,,,
12,0,,,,,,
12.5,0,,,,,,
13,0,,,,,,
13.5,0,,,,,,
14,0,,,,,,
14.5,0,,,,,,
15,0,,,,,,
15.5,0,,,,,,
16,0,,,,,,
16.5,0,,,,,,
17,0,,,,,,
17.5,0,,,,,,
18,0,,,,,,
18.5,0,,,,,,
19,0,,,,,,
19.5,0,,,,,,
20,0,,,,,,
20.5,0,,,,,,
21,0,,,,,,
21.5,0,,,,,,
22,0,,,,,,
22.5,0,,,,,,
23,1,,,,,,
23.5,3,,,,,,
24,9,,,,,,
24.5,20,,,,,,
25,43,,,,,,
25.5,84,,,,,,
26,151,,,,,,
26.5,250,,,,,,
27,384,,,,,,
27.5,551,,,,,,
28,740,,,,,,
28.5,938,,,,,,
29,1129,,,,,,
29.5,1300,,,,,,
30,1439,,,,,,
30.5,1546,,,,,,
31,1622,,,,,,
31.5,1673,,,,,,
32,1704,,,,,,
32.5,1723,,,,,,
33,1733,,,,,,
33.5,1740,,,,,,
34,1743,,,,,,
34.5,1746,,,,,,
35,1748,,,,,,
35.5,1750,,,,,,
36,1752,,,,,,
36.5,1754,,,,,,
37,1756,,,,,,
37.5,1758,,,,,,
38,1760,,,,,,
38.5,1762,,,,,,
39,1763,,,,,,
39.5,1765,,,,,,
40,1767,,,,,,
40.5,1769,,,,,,
41,1771,,,,,,
41.5,1772,,,,,,
42,1774,,,,,,
42.5,1776,,,,,,
43,1777,,,,,,
43.5,1779,,,,,,
44,1781,,,,,,
44.5,1782,,,,,,
45,1784,,,,,,
45.5,1786,,,,,,
46,1787,,,,,,
46.5,1789,,,,,,
47,1791,,,,,,
47.5,1792,,,,,,
48,1794,,,,,,
48.5,1795,,,,,,
49,1797,,,,,,
49.5,1798,,,,,,
50,1800,,,,,,
50.5,1801,,,,,,
51,1803,,,,,,
51.5,1807,,,,,,
52,1814,,,,,,
52.5,1827,,,,,,
53,1848,,,,,,
53.5,1880,,,,,,
54,1929,,,,,,
54.5,2009,,,,,,
55,2152,,,,,,
55.5,2397,,,,,,
56,2789,,,,,,
56.5,3365,,,,,,
57,4169,,,,,,
57.5,5245,,,,,,
58,6643,,,,,,
58.5,8419,,,,,,
59,10638,,,,,,
59.5,13365,,,,,,
60,16671,,,,,,
