Pueblo Dam,,,,,,,
PMF Snow Only,,,,,,,
PMF Only Snowmelt,,,,,,,
3100100021,,,,,,,
97,8591.391,,,,,,
97.5,8588.546,,,,,,
98,8590.629,,,,,,
98.5,8589.527,,,,,,
99,8588.54,,,,,,
99.5,8586.942,,,,,,
100,8583.71,,,,,,
100.5,8581.307,,,,,,
101,8583.379,,,,,,
101.5,8585.305,,,,,,
102,8586.989,,,,,,
102.5,8584.467,,,,,,
103,8579.731,,,,,,
103.5,8584.583,,,,,,
104,8577.802,,,,,,
104.5,8581.246,,,,,,
105,8582.258,,,,,,
105.5,8580.682,,,,,,
106,8578.643,,,,,,
106.5,8576.619,,,,,,
107,8582.672,,,,,,
107.5,8573.646,,,,,,
108,8576.138,,,,,,
108.5,8572.931,,,,,,
109,8573.361,,,,,,
109.5,8572.122,,,,,,
110,8577.772,,,,,,
110.5,8572.183,,,,,,
111,8579.47,,,,,,
111.5,8573.562,,,,,,
112,8576.927,,,,,,
112.5,8576.291,,,,,,
113,8570.365,,,,,,
113.5,8570.307,,,,,,
114,8573.474,,,,,,
114.5,8568.793,,,,,,
115,8573.109,,,,,,
115.5,8569.622,,,,,,
116,8565.627,,,,,,
116.5,8571.199,,,,,,
117,8562.898,,,,,,
117.5,8571.917,,,,,,
118,8564.143,,,,,,
118.5,8563.366,,,,,,
119,8559.816,,,,,,
119.5,8560.828,,,,,,
120,8561.38,,,,,,
120.5,8557.591,,,,,,
121,8559.33,,,,,,
121.5,8558.332,,,,,,
122,8556.037,,,,,,
122.5,8553.919,,,,,,
123,8550.726,,,,,,
123.5,8547.754,,,,,,
124,8544.595,,,,,,
124.5,8541.751,,,,,,
125,8537.761,,,,,,
125.5,8534.974,,,,,,
126,8530.846,,,,,,
126.5,8525.676,,,,,,
127,8521.825,,,,,,
127.5,8517.11,,,,,,
128,8512.791,,,,,,
128.5,8507.848,,,,,,
129,8501.533,,,,,,
129.5,8496.531,,,,,,
130,8492.181,,,,,,
130.5,8486.038,,,,,,
131,8479.86,,,,,,
131.5,8474.131,,,,,,
132,8469.197,,,,,,
132.5,8462.017,,,,,,
133,8455.6,,,,,,
133.5,8449.869,,,,,,
134,8444.045,,,,,,
134.5,8437.635,,,,,,
135,8431.071,,,,,,
135.5,8424.585,,,,,,
136,8418.345,,,,,,
136.5,8411.592,,,,,,
137,8406.247,,,,,,
137.5,8399.305,,,,,,
138,8393.006,,,,,,
138.5,8386.475,,,,,,
139,8380.439,,,,,,
139.5,8374.388,,,,,,
140,8366.651,,,,,,
140.5,8360.602,,,,,,
141,8354.734,,,,,,
141.5,8349.372,,,,,,
142,8342.999,,,,,,
142.5,8337.128,,,,,,
143,8332.251,,,,,,
143.5,8325.524,,,,,,
144,8321.387,,,,,,
144.5,8314.793,,,,,,
145,8309.725,,,,,,
145.5,8305.175,,,,,,
146,8300.121,,,,,,
146.5,8294.527,,,,,,
147,8290.347,,,,,,
147.5,8284.542,,,,,,
148,8280.074,,,,,,
148.5,8273.903,,,,,,
149,8268.963,,,,,,
149.5,8264.125,,,,,,
150,8259.152,,,,,,
150.5,8253.691,,,,,,
151,8249.34,,,,,,
151.5,8243.788,,,,,,
152,8238.926,,,,,,
152.5,8233.856,,,,,,
153,8228.798,,,,,,
153.5,8223.986,,,,,,
154,8218.673,,,,,,
154.5,8214.243,,,,,,
155,8209.264,,,,,,
155.5,8204.355,,,,,,
156,8198.933,,,,,,
156.5,8194.011,,,,,,
